frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
16000,DJI_0411_frame_016000,3441.6,0:57:21,,0;1;0;0,0.0958;0.0000;0.3085,0;1;0,51.27
16125,DJI_0411_frame_016125,3446.6,0:57:26,,0;1;0;0,0.1047;0.0000;0.3234,0;3;0,40.35
16250,DJI_0411_frame_016250,3451.6,0:57:31,,0;1;0;0,0.1160;0.0000;0.1557,0;1;0,56.4
16375,DJI_0411_frame_016375,3456.6,0:57:36,,0;1;0;0,0.2648;0.0000;0.0252,0;2;0,61.39
16500,DJI_0411_frame_016500,3461.6,0:57:41,,0;1;0;0,0.3413;0.0000;0.0435,0;2;0,60.69
16625,DJI_0411_frame_016625,3466.6,0:57:46,,0;1;0;0,0.4809;0.0000;0.0000,0;1;0,71.88
16750,DJI_0411_frame_016750,3471.6,0:57:51,,0;1;0;0,0.3840;0.0000;0.0590,0;0;0,90.4
16875,DJI_0411_frame_016875,3476.6,0:57:56,,0;1;0;0,0.3600;0.0000;0.1146,0;3;3,53.19
17000,DJI_0411_frame_017000,3481.6,0:58:01,,1;0;0;0,0.0229;0.0000;0.5081,0;2;0,43.9
17125,DJI_0411_frame_017125,3486.6,0:58:06,,1;0;0;0,0.0361;0.0000;0.3272,0;2;0,45.42
17250,DJI_0411_frame_017250,3491.6,0:58:11,,0;1;0;0,0.0616;0.0000;0.2743,0;2;0,41.69
17375,DJI_0411_frame_017375,3496.6,0:58:16,,1;0;0;0,0.1213;0.0000;0.0269,0;1;0,72.98
17500,DJI_0411_frame_017500,3501.6,0:58:21,,1;0;0;0,0.4150;0.0000;0.0447,0;0;0,97.38
17625,DJI_0411_frame_017625,3506.6,0:58:26,,0;1;0;0,0.4536;0.0000;0.0003,0;1;0,71.86
17750,DJI_0411_frame_017750,3511.6,0:58:31,,0;1;0;0,0.4434;0.0000;0.0000,0;3;0,60.74
17875,DJI_0411_frame_017875,3516.6,0:58:36,,1;0;0;0,0.5298;0.0000;0.0000,0;2;1,68.51
18000,DJI_0411_frame_018000,3521.6,0:58:41,,1;0;0;0,0.5107;0.0000;0.0018,0;0;0,99.91
18125,DJI_0411_frame_018125,3526.6,0:58:46,,1;0;0;0,0.5663;0.0000;0.0040,0;0;0,99.81
18250,DJI_0411_frame_018250,3531.6,0:58:51,,1;0;0;0,0.5172;0.0000;0.0000,0;2;0,69.74
18375,DJI_0411_frame_018375,3536.6,0:58:56,,1;0;0;0,0.5491;0.0000;0.0000,0;2;0,69.74
18500,DJI_0411_frame_018500,3541.6,0:59:01,,0;1;0;0,0.5319;0.0000;0.0000,0;0;0,94.0
18625,DJI_0411_frame_018625,3546.6,0:59:06,,1;0;0;0,0.5933;0.0000;0.0000,1;1;0,80.73
18750,DJI_0411_frame_018750,3551.6,0:59:11,,1;0;0;0,0.2608;0.0000;0.0587,0;1;0,72.91
18875,DJI_0411_frame_018875,3556.6,0:59:16,,1;0;0;0,0.3950;0.0000;0.0286,0;1;0,76.06
19000,DJI_0411_frame_019000,3561.6,0:59:21,,1;0;0;0,0.2705;0.0000;0.3021,0;1;0,63.63
19125,DJI_0411_frame_019125,3566.6,0:59:26,,1;0;0;0,0.3012;0.0000;0.3208,0;1;0,63.95
19250,DJI_0411_frame_019250,3571.6,0:59:31,,1;0;0;0,0.1730;0.0000;0.4053,0;2;0,50.81
19375,DJI_0411_frame_019375,3576.6,0:59:36,,1;0;0;0,0.6071;0.0000;0.0510,0;3;0,64.65
19500,DJI_0411_frame_019500,3581.6,0:59:41,,1;0;0;0,0.0113;0.0000;0.5652,0;7;0,38.56
19625,DJI_0411_frame_019625,3586.6,0:59:46,,1;0;0;0,0.0071;0.0000;0.5519,0;3;0,40.08
19750,DJI_0411_frame_019750,3591.6,0:59:51,,1;0;0;0,0.0116;0.0000;0.4971,0;9;0,38.62
19875,DJI_0411_frame_019875,3596.6,0:59:56,,1;0;0;0,0.0237;0.0000;0.5753,0;4;0,39.71
20000,DJI_0411_frame_020000,3601.6,1:00:01,,1;0;0;0,0.0474;0.0000;0.6105,0;4;1,40.42
20125,DJI_0411_frame_020125,3606.6,1:00:06,,1;0;0;0,0.1628;0.0000;0.1705,0;6;0,51.27
20250,DJI_0411_frame_020250,3611.6,1:00:11,,0;1;0;0,0.1176;0.0000;0.2039,0;7;0,41.91
20375,DJI_0411_frame_020375,3616.6,1:00:16,,0;1;0;0,0.3184;0.0000;0.2620,0;3;0,48.56
20500,DJI_0411_frame_020500,3621.6,1:00:21,,0;1;0;0,0.1616;0.0000;0.4700,0;2;0,43.65
20625,DJI_0411_frame_020625,3626.6,1:00:26,,0;1;0;0,0.2138;0.0000;0.3943,0;1;4,45.37
20750,DJI_0411_frame_020750,3631.6,1:00:31,,0;1;0;0,0.0261;0.0000;0.3382,0;5;2,34.07
20875,DJI_0411_frame_020875,3636.6,1:00:36,,0;1;0;0,0.0560;0.0000;0.4835,0;4;0,35.45
21000,DJI_0411_frame_021000,3641.6,1:00:41,,1;0;0;0,0.0098;0.0000;0.7042,0;1;2,45.44
21125,DJI_0411_frame_021125,3646.6,1:00:46,,0;1;0;0,0.0000;0.0000;0.8644,0;1;0,44.88
21250,DJI_0411_frame_021250,3651.6,1:00:51,,1;0;0;0,0.0007;0.0000;0.7460,0;1;0,50.9
21375,DJI_0411_frame_021375,3656.6,1:00:56,,1;0;0;0,0.0051;0.0000;0.7694,0;0;0,73.18
21500,DJI_0411_frame_021500,3661.6,1:01:01,,1;0;0;0,0.0000;0.0000;0.7079,0;0;6,43.79
21625,DJI_0411_frame_021625,3666.6,1:01:06,,0;1;0;0,0.0050;0.0000;0.5301,0;0;2,51.46
21750,DJI_0411_frame_021750,3671.6,1:01:11,,0;1;0;0,0.0066;0.0000;0.5153,0;0;1,58.27
21875,DJI_0411_frame_021875,3676.6,1:01:16,,0;1;0;0,0.0078;0.0000;0.5190,0;0;1,58.33
22000,DJI_0411_frame_022000,3681.6,1:01:21,,0;1;0;0,0.0099;0.0000;0.5217,0;0;1,58.43
22125,DJI_0411_frame_022125,3686.6,1:01:26,,0;1;0;0,0.0089;0.0000;0.5201,0;0;1,58.38
22250,DJI_0411_frame_022250,3691.6,1:01:31,,0;1;0;0,0.0102;0.0000;0.4771,0;1;1,42.1
22375,DJI_0411_frame_022375,3696.6,1:01:36,,0;1;0;0,0.0097;0.0000;0.5195,0;0;1,58.42
22500,DJI_0411_frame_022500,3701.6,1:01:41,,0;1;0;0,0.0094;0.0000;0.5211,0;0;2,51.69
22625,DJI_0411_frame_022625,3706.6,1:01:46,,0;1;0;0,0.0075;0.0000;0.5142,0;1;1,41.93
22750,DJI_0411_frame_022750,3711.6,1:01:51,,0;1;0;0,0.0090;0.0000;0.5222,0;0;1,58.38
22875,DJI_0411_frame_022875,3716.6,1:01:56,,0;1;0;0,0.0087;0.0000;0.5195,0;0;1,58.37
23000,DJI_0411_frame_023000,3721.6,1:02:01,,0;1;0;0,0.0084;0.0000;0.5198,0;1;0,45.31
23125,DJI_0411_frame_023125,3726.6,1:02:06,,0;1;0;0,0.0075;0.0000;0.5193,0;1;1,41.92
23250,DJI_0411_frame_023250,3731.6,1:02:11,,0;1;0;0,0.0082;0.0000;0.5224,0;0;1,58.34
23375,DJI_0411_frame_023375,3736.6,1:02:16,,0;1;0;0,0.0093;0.0000;0.5198,0;1;0,45.35
0,DJI_0412_frame_000000,3740.96,1:02:20,,0;1;0;0,0.0055;0.0000;0.5124,0;1;1,41.83
125,DJI_0412_frame_000125,3745.96,1:02:25,,0;1;0;0,0.0048;0.0000;0.5129,0;0;1,58.18
250,DJI_0412_frame_000250,3750.96,1:02:30,,0;1;0;0,0.0052;0.0000;0.5131,0;0;2,51.48
375,DJI_0412_frame_000375,3755.96,1:02:35,,0;1;0;0,0.0047;0.0000;0.5053,0;1;1,41.79
500,DJI_0412_frame_000500,3760.96,1:02:40,,0;1;0;0,0.0068;0.0000;0.5159,0;0;1,58.28
625,DJI_0412_frame_000625,3765.96,1:02:45,,0;1;0;0,0.0063;0.0000;0.4994,0;1;0,45.21
750,DJI_0412_frame_000750,3770.96,1:02:50,,0;1;0;0,0.0070;0.0000;0.5160,0;0;1,58.29
875,DJI_0412_frame_000875,3775.96,1:02:55,,0;1;0;0,0.0060;0.0000;0.5158,0;0;0,67.31
